Unnamed: 0,Code,Mean_ann_earnings,median_age_2018,Name,2018 people per sq. km,deaths,lat,lon
313,W06000002,22021.0,43.2,Gwynedd,49,18,53.1469769,-4.2650823
314,W06000003,22986.0,49.4,Conwy,104,8,53.4200675,-2.952211
315,W06000004,22801.0,46.6,Denbighshire,114,11,52.16045,-0.70312
316,W06000005,25172.0,43.9,Flintshire,356,26,52.16045,-0.70312
317,W06000006,26537.0,42.2,Wrexham,270,7,52.5819733,-2.0207813
319,W06000008,22844.0,46.1,Ceredigion,41,4,52.496519,-4.0517037
320,W06000009,23793.0,48.0,Pembrokeshire,77,10,52.0070271,-5.0722362
321,W06000010,24919.0,46.3,Carmarthenshire,79,17,51.9058938,-3.7798213
322,W06000011,25743.0,39.6,Swansea,649,43,51.0883101,-3.4421354
323,W06000012,24157.0,43.3,Neath Port Talbot,324,21,51.5931167,-3.7813523
324,W06000013,25969.0,43.2,Bridgend,578,29,54.5218016,-2.9291085
325,W06000014,30443.0,43.7,Vale of Glamorgan,399,29,51.5239393,-0.3326361
326,W06000015,28702.0,33.6,Cardiff,2585,106,51.9896896,-2.1357384
327,W06000016,24457.0,40.6,Rhondda Cynon Taf,566,72,52.16045,-0.70312
329,W06000018,24514.0,41.6,Caerphilly,653,67,51.5745432,-3.2208487
330,W06000019,21564.0,42.9,Blaenau Gwent,641,22,51.8064141,-4.0267858
331,W06000020,25755.0,42.4,Torfaen,740,33,52.16045,-0.70312
332,W06000021,32558.0,48.6,Monmouthshire,111,25,51.481873,-2.7687559
333,W06000022,24974.0,38.8,Newport,805,61,50.6913105,-1.3163556
318,W06000023,22421.0,49.9,Powys,26,18,50.6827535,-3.2429661
328,W06000024,23889.0,40.5,Merthyr Tydfil,540,15,51.7490624,-3.3786183
